City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Codrington,AU,-38.2667,141.9667,53.28,74,38,13.18,Rain
283,Vardo,NO,70.3705,31.1107,48.63,91,100,9.53,Clouds
284,Barra Do Garcas,BR,-15.89,-52.2567,67.64,37,28,3.6,Clouds
285,Koshurnikovo,RU,54.1667,93.3,68.4,54,19,2.75,Clouds
286,Yumen,CN,40.2833,97.2,82.42,20,100,4.65,Clouds
287,Port Elizabeth,ZA,-33.918,25.5701,44.89,87,0,4.61,Clear
288,Lahad Datu,MY,5.0268,118.327,86.94,64,39,5.08,Clouds
289,Metro,ID,-5.1131,105.3067,87.82,57,16,3.89,Clouds
290,Chumikan,RU,54.7183,135.315,55.51,69,97,7.45,Clouds
291,Tanggu,CN,39.0211,117.6469,85.96,58,4,13.98,Clear
292,Concepcion Del Uruguay,AR,-32.4825,-58.2372,47.86,84,0,1.01,Clear
293,Severnyy,RU,50.677,36.5532,71.64,68,0,2.24,Clear
294,Mahajanga,MG,-15.7167,46.3167,62.62,77,20,3.44,Clouds
295,Dombarovskiy,RU,50.7587,59.5386,85.53,30,6,7.65,Clear
296,Kushmurun,KZ,52.4503,64.6311,82.24,45,27,10.29,Clouds
297,Krasnoye,UA,49.9145,24.6134,60.3,93,1,3.51,Clear
298,Taltal,CL,-25.4,-70.4833,64.47,54,1,5.35,Clear
299,Caucaia,BR,-3.7361,-38.6531,80.55,74,20,11.5,Clouds
300,Yago,MX,21.8333,-105.0667,77.2,95,100,3.18,Clouds
301,Blagoyevo,RU,63.3667,47.9167,57.94,94,100,5.61,Clouds
302,Chifeng,CN,42.2683,118.9636,68.97,68,100,13.47,Clouds
303,Upata,VE,8.0086,-62.3989,76.19,95,100,2.95,Clouds
304,Port-Cartier,CA,50.0334,-66.8654,59.11,84,98,6.67,Clouds
305,Eirunepe,BR,-6.6603,-69.8736,68.31,57,17,0.4,Clouds
306,Sion,CH,46.2291,7.3594,63.95,91,100,0.0,Clouds
307,Capinopolis,BR,-18.6819,-49.5697,65.48,36,20,3.18,Clouds
308,Kirksville,US,40.1948,-92.5833,67.05,94,1,0.0,Mist
309,Lata,PT,40.1629,-8.3327,58.82,98,26,2.1,Clouds
310,Ust-Kan,RU,50.9276,84.761,66.16,58,75,2.42,Clouds
311,Sivaki,RU,52.6333,126.75,55.85,99,100,8.52,Rain
312,Mumford,GH,5.2618,-0.759,74.46,92,53,5.5,Clouds
313,Hofn,IS,64.2539,-15.2082,51.64,89,43,5.73,Clouds
314,Labuhan,ID,-6.8844,112.2051,86.68,56,11,2.59,Clouds
315,Pau Dos Ferros,BR,-6.1125,-38.2063,73.27,65,20,11.1,Clouds
316,Uzunovo,RU,54.5386,38.6173,60.28,65,100,5.06,Clouds
317,Ola,RU,59.5833,151.2833,60.87,62,84,8.9,Clouds
318,Gold Coast,AU,-28.0,153.4333,81.16,64,0,5.01,Clear
319,Maykor,RU,59.0059,55.88,63.95,91,60,6.69,Clouds
320,San Cristobal,VE,7.7669,-72.225,66.11,97,92,5.28,Clouds
321,Ankang,CN,32.68,109.0172,93.33,55,0,2.21,Clear
322,Redcar,GB,54.6166,-1.06,55.65,84,100,8.81,Clouds
323,Karratha,AU,-20.7377,116.8463,72.0,32,1,1.12,Clear
324,Umm Kaddadah,SD,13.6017,26.6876,77.0,70,98,13.18,Clouds
325,Muisne,EC,0.6,-80.0333,75.38,86,98,9.75,Clouds
326,Ca Mau,VN,9.1769,105.15,87.6,63,53,11.97,Clouds
327,Tel Aviv-Yafo,IL,32.0805,34.7805,84.69,50,40,2.3,Clouds
328,Majene,ID,-3.5403,118.9707,83.44,70,72,9.44,Clouds
329,Kodiak,US,57.79,-152.4072,56.98,89,100,5.82,Clouds
330,West Lafayette,US,40.4259,-86.9081,66.11,81,1,0.0,Clear
331,Tazovskiy,RU,67.4667,78.7,55.72,69,95,7.29,Clouds
332,Petawawa,CA,45.9001,-77.3328,58.59,87,1,2.1,Clear
333,Coruripe,BR,-10.1256,-36.1756,72.72,85,93,19.3,Clouds
334,Twin Falls,US,42.3505,-114.6445,66.09,88,90,13.8,Mist
335,Pitimbu,BR,-7.4706,-34.8086,73.99,84,8,14.83,Clear
336,Puerto Escondido,MX,15.85,-97.0667,85.03,70,40,0.0,Clouds
337,Waiouru,NZ,-39.4833,175.6667,47.77,57,100,2.91,Clouds
338,Acajutla,SV,13.5928,-89.8275,77.34,85,80,11.27,Clouds
339,Popondetta,PG,-8.7537,148.2534,85.1,57,66,6.38,Clouds
340,Kaihua,CN,23.3687,104.28,69.55,90,100,3.51,Rain
341,Penarroya-Pueblonuevo,ES,38.3,-5.2667,60.91,64,5,3.56,Clear
342,Klaksvik,FO,62.2266,-6.589,47.32,80,100,11.74,Clouds
343,Augusto Correa,BR,-1.0217,-46.635,72.0,97,21,0.45,Clouds
344,Havoysund,NO,70.9963,24.6622,45.48,79,100,4.32,Clouds
345,Isabela,PH,6.7085,121.9711,87.85,68,47,1.59,Clouds
346,Sergiyevsk,RU,53.9413,51.165,76.93,53,12,6.35,Clouds
347,Lincoln,US,40.8,-96.667,75.11,89,1,3.44,Haze
348,Pihani,IN,27.6333,80.2,84.33,76,89,15.68,Clouds
349,Bonavista,CA,48.6499,-53.1147,62.11,81,7,21.59,Clear
350,Nakhon Si Thammarat,TH,8.25,100.0,90.45,49,83,12.44,Rain
351,Shelburne,CA,44.0787,-80.2041,61.12,85,99,8.12,Clouds
352,Vangaindrano,MG,-23.35,47.6,62.55,82,74,0.78,Rain
353,Kruisfontein,ZA,-34.0033,24.7314,53.8,38,88,7.63,Clouds
354,Troitsko-Pechorsk,RU,62.7084,56.1964,62.44,84,69,6.58,Clouds
355,Ouricuri,BR,-7.8825,-40.0817,68.38,83,91,10.42,Clouds
